Nazwa,ID,Fabryka,Pakowanie,Waga Paczki,Waga Jednostki,Cena katalogowa,Cena zakupu,Cena Detal Fabryka,Cena Detal Plac,Cena Wykonawcy Fabryka,Cena Wykonawcy Plac,Cena Hurt Fabryka,Cena Hurt Plac,Czy Kurier,Cena Kurier,Towar Niedostępny,Przewidywany czas dostępnosci,Uwagi,Sprzedaz jednostkowa,Szerokosc,Na Promocji,Na Palecie,Czy Koszt Sprzedazy,wpid,,
Granito - grafitowy,118,POLBRUK,11.21,1.48,0.13202497769848,67,9,34,7,40.6,43,38.2,40.6,36.2,38.6,,0,,2021-12-23 00:00:00,,1.121,0,,1,1,6798
Granito - hawaii,119,POLBRUK,11.21,1.48,0.13202497769848,81,18,43,67,54.2,56.6,49,51.4,46.3,48.7,,0,,2021-12-23 00:00:00,,1.121,0,,1,1,6799
Granito - latte,120,POLBRUK,11.21,1.48,0.13202497769848,81,18,43,67,54.2,56.6,49,51.4,46.3,48.7,,0,,2021-12-23 00:00:00,,1.121,0,,1,1,6801
Granito - szary,121,POLBRUK,11.21,1.48,0.13202497769848,63,47,31,61,37.7,40.1,35.5,37.9,33.6,36,,0,,2021-12-23 00:00:00,,1.121,0,,1,1,6802
Płytka chodnikowa 35x35x5 - szary,122,POLBRUK,126,1.84,0.014603174603175,6,64,4,6,5.2,5.5,4.6,4.9,4.3,4.6,,0,,2021-12-23 00:00:00,,7.875,0,,1,1,6836
Płytka chodnikowa 35x35x5 - grafitowy,123,POLBRUK,126,1.84,0.014603174603175,7,38,4,31,5.2,5.5,4.9,5.2,4.6,4.9,,0,,2021-12-23 00:00:00,,7.875,0,,1,1,6837
Płytka chodnikowa 35x35x5 - czerwony,124,POLBRUK,126,1.84,0.014603174603175,7,38,4,31,5.2,5.5,4.9,5.2,4.6,4.9,,0,,2021-12-23 00:00:00,,7.875,0,,1,1,6838
Płytka chodnikowa 35x35x5 - grafitowy płukany,125,POLBRUK,126,1.84,0.014603174603175,8,86,5,31,6.4,6.7,6,6.3,5.7,6,,0,,2021-12-23 00:00:00,,7.875,0,,1,1,6841
Płytka chodnikowa 35x35x5 - szary płukany,126,POLBRUK,126,1.84,0.014603174603175,8,86,5,31,6.6,6.9,6,6.3,5.7,6,,0,,2021-12-23 00:00:00,,7.875,0,,1,1,6842
Napoli 6cm - grafitowy płukany,127,POLBRUK,10,1.32,0.132,97,42,47,36,58.8,61.5,53.1,55.8,50.3,53,,0,,2021-12-23 00:00:00,,1,0,1,1,1,6846
Napoli 6cm - szary płukany,128,POLBRUK,10,1.32,0.132,97,42,47,36,58.8,61.5,53.1,55.8,50.3,53,,0,,2021-12-23 00:00:00,,1,0,,1,1,6847
Napoli 6cm - nerino,129,POLBRUK,10,1.32,0.132,81,18,43,67,54.2,56.9,49,51.7,46.3,49,,0,,2021-12-23 00:00:00,,1,0,1,1,1,6848
Napoli 6cm - szary,130,POLBRUK,10,1.32,0.132,63,47,31,61,37.7,40.4,35.5,38.2,33.6,36.3,,0,,2021-12-23 00:00:00,,1,0,1,1,1,6849
Napoli 6cm - grafitowy,131,POLBRUK,10,1.32,0.132,67,9,34,7,40.6,43.3,38.2,40.9,36.2,38.9,,0,,2022-02-26 00:00:00,,1,0,1,1,1,6850
Trento - żółty płukany,132,POLBRUK,10.8,1.42,0.13148148148148,97,42,47,36,58.8,61.3,53.1,55.6,50.3,52.8,,0,,2021-12-23 00:00:00,,1.08,0,,1,1,6851
Trento - szary płukany,133,POLBRUK,10.8,1.42,0.13148148148148,97,42,47,36,58.8,61.3,53.1,55.6,50.3,52.8,,0,,2021-12-23 00:00:00,,1.08,0,,1,1,6852
Trento - grafitowy płukany,134,POLBRUK,10.8,1.42,0.13148148148148,97,42,47,36,58.8,61.3,53.1,55.6,50.3,52.8,,0,,2021-12-23 00:00:00,,1.08,0,,1,1,6853
Trento - brązowy płukany,135,POLBRUK,10.8,1.42,0.13148148148148,97,42,47,36,58.8,61.3,53.1,55.6,50.3,52.8,,0,,2021-12-23 00:00:00,,1.08,0,,1,1,6854
Trento - brązowy,136,POLBRUK,10.8,1.42,0.13148148148148,67,9,34,7,40.6,43.1,38.2,40.7,36.2,38.7,,0,,2021-12-23 00:00:00,,1.08,0,,1,1,6855
Trento - grafitowy,137,POLBRUK,10.8,1.42,0.13148148148148,67,9,34,7,40.6,43.1,38.2,40.7,36.2,38.7,,0,,2021-12-23 00:00:00,,1.08,0,,1,1,6856
Trento - szary,138,POLBRUK,10.8,1.42,0.13148148148148,63,47,31,61,37.7,40.2,35.5,38,33.6,36.1,,0,,2021-12-23 00:00:00,,1.08,0,,1,1,6857
Trento - nerino,139,POLBRUK,10.8,1.42,0.13148148148148,81,18,43,67,54.2,56.7,49,51.5,46.3,48.8,,0,,2021-12-23 00:00:00,,1.08,0,,1,1,6858
Trento - hawaii,140,POLBRUK,10.8,1.42,0.13148148148148,81,18,43,67,54.2,56.7,49,51.5,46.3,48.8,,0,,2021-12-23 00:00:00,,1.08,0,,1,1,6859
Obrzeże Modern - brązowy,141,POLBRUK,24,1.01,0.042083333333333,28,4,15,99,19.9,21,18,19.1,17,18.1,,0,,2021-12-23 00:00:00,,1,0,,1,,6864
